,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC,Other
Passenger,1.0,0.2871163487434387,0.25148773193359375,0.3332539498806,0.3461345434188843,1.0,1.0,0.22514566779136658,0.39820462465286255,0.3674163818359375,0.823378324508667,0.41291263699531555,0.47778230905532837,0.1276184767484665
Freight,0.8331056833267212,1.0,0.8349603414535522,0.9439969062805176,0.9414179921150208,0.821934700012207,0.7055820226669312,1.0,0.9793160557746887,0.9738966822624207,0.7245644330978394,0.951572060585022,0.9269475936889648,0.9614725708961487
Empty,0.2626398801803589,0.3005159795284271,1.0,0.3351219594478607,0.35250991582870483,0.25470831990242004,0.1866575926542282,0.23633483052253723,0.41634654998779297,0.3558049499988556,0.4117954969406128,0.3198402523994446,1.0,0.1551484912633896
Long,0.6455406546592712,0.6301975250244141,0.6215947270393372,1.0,0.6521598696708679,1.0,0.6963240504264832,0.6938585042953491,0.7305329442024231,1.0,0.6131370067596436,0.7718990445137024,0.28911226987838745,0.5158224701881409
Reinforced,0.4552888870239258,0.426758736371994,0.44398632645606995,0.4428410530090332,1.0,0.4569767117500305,0.5093261003494263,0.47266966104507446,0.516454815864563,0.4930674731731415,0.8639181852340698,0.49809718132019043,0.46847057342529297,0.27250000834465027
LongPassenger,0.34535881876945496,0.09782855957746506,0.08423058688640594,0.1782880574464798,0.11998376995325089,1.0,0.5426821112632751,0.0745026245713234,0.14143060147762299,0.26986852288246155,0.2854151427745819,0.21117466688156128,0.13262423872947693,0.0
2Passenger,0.13288946449756622,0.03231438249349594,0.023751569911837578,0.04776982218027115,0.051456984132528305,0.20881682634353638,1.0,0.01492854580283165,0.0691080093383789,0.06057937815785408,0.12240491062402725,0.08125719428062439,0.03580542653799057,0.0
2Freight,0.4215735197067261,0.6453087329864502,0.42373424768447876,0.6707062721252441,0.6728609204292297,0.4039342999458313,0.21034717559814453,1.0,0.826600193977356,0.7964568734169006,0.4059222936630249,0.8448646068572998,0.35711920261383057,0.4402853548526764
3Wagons,0.6320164799690247,0.5356767773628235,0.6327515244483948,0.5985681414604187,0.6231783628463745,0.6499724984169006,0.825391411781311,0.7006609439849854,1.0,0.7922331690788269,0.606298565864563,0.8768309354782104,0.6972512602806091,0.037472303956747055
2Long,0.22270067036151886,0.20343875885009766,0.20650526881217957,0.3129065930843353,0.2272098958492279,0.4736359715461731,0.27631041407585144,0.25781935453414917,0.30254772305488586,1.0,0.21114110946655273,0.3415180444717407,0.11834492534399033,0.03218057006597519
TypeA,0.4552888870239258,0.13807734847068787,0.218034565448761,0.17502370476722717,0.3631768226623535,0.4569767117500305,0.5093261003494263,0.11987283825874329,0.21122826635837555,0.1926182359457016,1.0,0.2023298591375351,0.24450159072875977,0.0
TypeB,0.675284743309021,0.536325216293335,0.5008618831634521,0.6516898274421692,0.6192994713783264,1.0,1.0,0.7379146218299866,0.9034881591796875,0.9214662313461304,0.5984131097793579,1.0,0.47051605582237244,0.0
TypeC,0.22186841070652008,0.14834687113761902,0.44465330243110657,0.06930804252624512,0.16538861393928528,0.1783272624015808,0.1251191347837448,0.0885663777589798,0.20400114357471466,0.09066758304834366,0.20533333718776703,0.13360142707824707,1.0,0.0
Other,0.14224329590797424,0.3693286180496216,0.16558533906936646,0.296804279088974,0.23090995848178864,0.0,0.0,0.26208534836769104,0.02631518989801407,0.059176456183195114,0.0,0.0,0.0,1.0
