,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
E0,0.42421790957450867,0.9479503631591797,0.4263754189014435,0.8128371238708496,0.5145630836486816,0.18797194957733154,0.07982739806175232,0.8039374351501465,0.9018338918685913
E1,0.41809767484664917,0.8862918615341187,0.42628422379493713,0.6522623896598816,0.49012330174446106,0.16736936569213867,0.06308925151824951,0.6609344482421875,0.7391921877861023
E2,0.41896113753318787,0.8923825025558472,0.4255066514015198,0.665771484375,0.49259698390960693,0.1692613810300827,0.0644446536898613,0.6739079356193542,0.7543463110923767
E3,0.4179392457008362,0.9183411002159119,0.4179392457008362,0.7256067991256714,0.5076354146003723,0.17826716601848602,0.06976370513439178,0.7262498140335083,0.8108021020889282
E4,0.42675158381462097,0.8535031676292419,0.5286624431610107,0.6815286874771118,0.5286624431610107,0.18471337854862213,0.06369426846504211,0.6369426846504211,0.7452229261398315
E5,0.4218337833881378,0.9439314007759094,0.4020448625087738,0.774076521396637,0.5056068897247314,0.17974933981895447,0.06332454085350037,0.7803429961204529,0.8604881167411804
E6,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
E7,0.4357864260673523,0.9381313323974609,0.42243868112564087,0.7810245156288147,0.5160533785820007,0.19065657258033752,0.0714285746216774,0.7683982849121094,0.8609307408332825
E8,0.42557862401008606,0.9179968237876892,0.4231843650341034,0.7065044045448303,0.5105746388435364,0.16660015285015106,0.06923384219408035,0.7238627076148987,0.8198323845863342
E9,0.4456879496574402,0.88742595911026,0.4206714928150177,0.6668860912322998,0.5042791366577148,0.17248189449310303,0.07241605967283249,0.6471362709999084,0.7399604916572571
E10,0.42432650923728943,0.9219563007354736,0.4143831729888916,0.7101399302482605,0.5058388113975525,0.17366169393062592,0.0628974437713623,0.7204301357269287,0.8076078295707703
E11,0.41196155548095703,0.8766089081764221,0.4250043034553528,0.6461300849914551,0.4866998493671417,0.16320577263832092,0.06306847184896469,0.6507636904716492,0.7224128842353821
E12,0.43646159768104553,0.9645262956619263,0.41872474551200867,0.8336327075958252,0.5433318614959717,0.19757521152496338,0.08082622289657593,0.8376740217208862,0.9308486580848694
E13,0.4259396493434906,0.8842729926109314,0.43175074458122253,0.6734668612480164,0.47725024819374084,0.16777943074703217,0.0671364963054657,0.6612265110015869,0.7456725835800171
E14,0.44453004002571106,0.8651772141456604,0.43220338225364685,0.6224961280822754,0.5077041387557983,0.16872110962867737,0.05392912030220032,0.5916795134544373,0.6702619194984436
E15,0.4189879894256592,0.8923094868659973,0.4255797564983368,0.6657550930976868,0.49261078238487244,0.16923871636390686,0.06444643437862396,0.6738401651382446,0.7542756199836731
