,Expected Neuron,Best Neuron,Training,Validation
Passenger,0,N[4],0.7029836177825928,0.7019021511077881
Freight,1,N[4] (negated),0.7075227797031403,0.705909788608551
Empty,2,N[2],0.7676413059234619,0.7636362910270691
Long,3,N[9],0.7604614496231079,0.763485312461853
Reinforced,4,N[4],0.6610704660415649,0.6595947742462158
LongPassenger,5,N[9],0.8046035766601562,0.8013324737548828
2Passenger,6,N[7],0.7377316951751709,0.7377969026565552
2Freight,7,N[7],0.7460722923278809,0.7440734505653381
3Wagons,8,N[7],0.8533250093460083,0.8535259962081909
2Long,9,N[9],0.8198991417884827,0.8169821500778198
Mean,,,0.7561311334371567,0.7548239290714264
