,Expected,Expected,Expected,Expected,Best Without Repeat,Best Without Repeat,Best Without Repeat,Best Without Repeat
,Concept,Rank,Training,Validation,Concept,Rank,Training,Validation
N[0],Passenger,3,0.5838133096694946,0.5836766362190247,Passenger,3,0.5838133096694946,0.5836766362190247
N[1],Freight,4,0.6309612989425659,0.6290042400360107,Long,1,0.6876641511917114,0.6935875415802002
N[2],Empty,0,0.7676413059234619,0.7636362910270691,Empty,0,0.7676413059234619,0.7636362910270691
N[3],Long,5,0.600339412689209,0.5980809926986694,Reinforced,8,0.5037397146224976,0.5050391554832458
N[4],Reinforced,0,0.6610704660415649,0.6595947742462158,!Freight,0,0.7075227797031403,0.705909788608551
N[5],LongPassenger,4,0.6808252334594727,0.6747257709503174,2Freight,1,0.7028102874755859,0.7014538049697876
N[6],2Passenger,2,0.6878553628921509,0.687296450138092,2Passenger,2,0.6878553628921509,0.687296450138092
N[7],2Freight,0,0.7460722923278809,0.7440734505653381,3Wagons,0,0.8533250093460083,0.8535259962081909
N[8],3Wagons,1,0.8349520564079285,0.8358078002929688,LongPassenger,2,0.6998375058174133,0.7002529501914978
N[9],2Long,0,0.8198991417884827,0.8169821500778198,2Long,0,0.8198991417884827,0.8169821500778198
Mean,,,0.7013429880142212,0.6992878556251526,,,0.7014108568429946,0.7011360764503479
