,Best Without Repeat,Best Without Repeat,Best Without Repeat,Best Without Repeat
,Concept,Rank,Training,Validation
N[0],!Empty,0,0.8759035170078278,0.8790864199399949
N[1],!2Long,5,0.5540627539157867,0.5548328161239624
N[2],!Passenger,1,0.7214775085449219,0.7197375893592834
N[3],!2Passenger,8,0.5217133164405823,0.5217570960521698
N[4],!Reinforced,9,0.5004784464836121,0.5004435479640961
N[5],!Long,0,0.7223978042602539,0.718586266040802
N[6],!3Wagons,0,0.7474956512451172,0.7467382550239563
N[7],LongPassenger,0,0.9750384092330932,0.9731189012527466
N[8],2Freight,0,0.8206246495246887,0.8204464912414551
N[9],!Freight,1,0.7896912544965744,0.7943575978279114
Mean,,,0.7228883311152459,0.7229104980826377
